,Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,multiple_deliveries,Time_taken(min),Distance(kms),Type_of_order_Drinks ,Type_of_order_Meal ,Type_of_order_Snack ,Type_of_vehicle_electric_scooter ,Type_of_vehicle_motorcycle ,Type_of_vehicle_scooter ,Festival_No ,Festival_Yes ,City_Metropolitian ,City_Semi-Urban ,City_Urban 
14,29.0,4.5,5,3,2.0,1.0,20.0,13.74093223440384,0,0,0,1,0,0,1,0,1,0,0
15,35.0,4.0,2,2,1.0,1.0,33.0,6.205589948339296,0,1,0,0,0,1,1,0,1,0,0
16,33.0,4.2,5,3,2.0,1.0,40.0,16.821191645783845,0,0,1,0,1,0,1,0,1,0,0
17,34.0,4.9,1,3,0.0,1.0,41.0,10.738078032534391,0,0,1,0,1,0,1,0,1,0,0
18,21.0,4.7,2,3,0.0,1.0,15.0,4.533895591762032,0,1,0,0,1,0,1,0,0,0,1
19,25.0,4.1,5,3,0.0,2.0,36.0,12.235136123611104,0,0,1,0,1,0,1,0,1,0,0
20,31.0,4.7,5,0,2.0,0.0,26.0,19.590994221235693,0,1,0,1,0,0,1,0,1,0,0
21,37.0,5.0,5,0,1.0,1.0,20.0,1.5549501809798034,0,0,1,0,1,0,1,0,1,0,0
22,33.0,4.3,2,3,2.0,1.0,39.0,20.140905255245308,0,1,0,0,0,1,1,0,1,0,0
23,25.0,4.0,1,2,1.0,1.0,34.0,6.106736943461254,0,0,0,0,1,0,1,0,1,0,0
24,29.0,4.5,0,1,2.0,1.0,15.0,17.04198395713103,0,1,0,1,0,0,1,0,1,0,0
25,27.0,5.0,4,3,0.0,0.0,18.0,4.465068381023686,0,0,1,0,1,0,1,0,0,0,1
26,35.0,4.3,1,0,1.0,0.0,38.0,13.66073757837138,1,0,0,0,0,1,1,0,1,0,0
27,32.0,4.0,2,3,0.0,1.0,47.0,13.94563444308926,0,0,0,0,1,0,1,0,1,0,0
28,23.0,4.8,2,0,2.0,0.0,12.0,16.82479191121949,0,0,0,1,0,0,1,0,0,0,1
29,31.0,4.8,5,0,2.0,1.0,26.0,4.664630782216606,1,0,0,0,1,0,1,0,1,0,0
30,36.0,4.1,4,0,0.0,1.0,22.0,7.589769422472331,1,0,0,0,1,0,1,0,0,0,1
31,26.0,4.3,5,0,0.0,0.0,21.0,7.705941974795929,0,0,0,0,1,0,1,0,0,0,1
32,38.0,4.9,1,2,1.0,1.0,25.0,6.164143763345328,1,0,0,0,0,1,1,0,0,0,1
33,32.0,3.5,4,3,1.0,0.0,35.0,17.25937671693666,0,0,1,0,0,1,1,0,0,0,1
34,32.0,4.6,1,0,2.0,1.0,30.0,19.880688906108812,1,0,0,0,0,1,1,0,1,0,0
35,33.0,4.9,0,1,1.0,1.0,22.0,10.706184356730287,0,0,1,0,1,0,1,0,1,0,0
36,20.0,4.7,2,2,1.0,0.0,10.0,6.1173690615583665,0,0,1,0,0,1,1,0,0,0,1
37,20.0,4.8,5,0,2.0,1.0,19.0,1.51798712661804,0,1,0,0,0,1,1,0,1,0,0
38,35.0,5.0,0,0,2.0,1.0,11.0,3.06801652533814,0,0,1,0,0,1,1,0,0,0,1
39,26.0,4.9,4,0,2.0,0.0,11.0,3.0990100939449827,0,0,0,0,0,1,1,0,1,0,0
40,22.0,4.8,3,0,1.0,1.0,28.0,10.846013590625741,0,0,1,0,1,0,1,0,1,0,0
41,35.0,4.3,1,1,1.0,1.0,33.0,10.844094035054757,0,0,1,0,1,0,1,0,1,0,0
42,29.0,4.5,1,1,1.0,1.0,33.0,12.2161949334661,1,0,0,0,0,1,1,0,1,0,0
43,37.0,4.7,5,3,0.0,3.0,52.0,13.661199383826538,0,0,1,0,1,0,1,0,1,0,0
44,28.0,4.6,4,3,1.0,1.0,22.0,16.797998791306554,0,0,1,0,0,1,1,0,1,0,0
45,37.0,4.9,3,0,1.0,1.0,16.0,3.0227804656534882,0,0,1,0,0,1,1,0,0,0,1
46,23.0,4.9,0,3,2.0,0.0,11.0,9.1598473686937,1,0,0,1,0,0,1,0,1,0,0
47,27.0,4.9,2,1,1.0,1.0,25.0,9.296712100181459,1,0,0,0,0,1,1,0,1,0,0
48,37.0,4.8,1,1,0.0,1.0,26.0,6.19680534366793,1,0,0,0,1,0,1,0,0,0,1
49,33.0,5.0,0,2,2.0,1.0,18.0,1.5179748068736865,0,0,1,0,0,1,1,0,1,0,0
50,31.0,4.9,3,1,1.0,1.0,16.0,6.0286740052559145,0,0,1,0,1,0,1,0,1,0,0
51,31.0,4.8,4,0,2.0,1.0,23.0,17.044988256333504,1,0,0,0,0,1,1,0,1,0,0
52,25.0,5.0,1,0,0.0,0.0,15.0,4.707104052532131,0,0,1,0,1,0,1,0,1,0,0
53,28.0,4.8,5,3,0.0,1.0,36.0,12.438888551921162,1,0,0,0,1,0,1,0,1,0,0
54,31.0,4.7,1,0,2.0,0.0,16.0,9.107220024938373,0,0,1,0,1,0,1,0,1,0,0
55,24.0,4.7,0,1,0.0,0.0,19.0,13.994592406584347,0,0,0,0,1,0,1,0,0,0,1
56,39.0,4.6,0,0,1.0,1.0,27.0,13.37733285955016,0,0,1,0,1,0,1,0,1,0,0
57,39.0,4.2,3,3,2.0,1.0,49.0,12.552275755914396,0,0,1,0,0,1,1,0,0,1,0
58,32.0,4.5,2,0,2.0,0.0,20.0,1.4881912567305338,0,0,0,0,0,1,1,0,0,0,0
59,36.0,4.7,1,3,1.0,1.0,30.0,9.414207472710384,0,0,1,0,1,0,1,0,1,0,0
60,25.0,4.8,5,0,1.0,0.0,18.0,11.902753837483976,1,0,0,0,0,1,1,0,0,0,1
61,33.0,4.9,0,3,2.0,0.0,22.0,4.654256824131883,1,0,0,0,0,1,1,0,1,0,0
62,30.0,4.4,1,0,2.0,1.0,34.0,10.624594799022637,1,0,0,0,0,1,1,0,1,0,0
63,33.0,5.0,5,0,0.0,0.0,24.0,16.790293751513897,0,0,0,0,1,0,1,0,0,0,1
64,36.0,4.9,3,1,2.0,1.0,17.0,6.118069582492733,1,0,0,0,0,1,1,0,1,0,0
65,21.0,4.8,5,0,2.0,0.0,14.0,2.992439854304365,0,1,0,1,0,0,1,0,1,0,0
66,39.0,4.9,4,3,2.0,1.0,30.0,7.335684979628507,0,1,0,0,1,0,1,0,1,0,0
67,23.0,4.8,4,0,1.0,1.0,15.0,3.1380694073889375,0,1,0,0,0,1,1,0,1,0,0
68,35.0,4.8,3,1,2.0,1.0,16.0,6.276138627413788,0,0,0,0,0,1,1,0,0,0,1
69,39.0,4.6,1,3,1.0,1.0,36.0,13.944598794232533,0,0,1,0,0,1,1,0,1,0,0
70,22.0,4.7,0,2,1.0,1.0,18.0,6.071959804867862,0,0,0,0,0,1,1,0,0,0,1
71,32.0,4.6,3,1,1.0,0.0,17.0,6.071422120848535,0,1,0,0,0,1,1,0,1,0,0
72,24.0,4.8,5,0,1.0,1.0,15.0,12.552275755914396,0,0,0,0,1,0,1,0,0,0,1
73,29.0,4.7,3,0,0.0,1.0,17.0,3.1380694073889375,0,0,0,0,1,0,1,0,1,0,0
74,29.0,4.5,0,0,1.0,0.0,19.0,6.1983397369141935,1,0,0,0,0,1,1,0,1,0,0
75,26.0,4.7,3,0,1.0,0.0,10.0,9.204061108012812,0,0,0,0,1,0,1,0,1,0,0
76,20.0,4.5,3,3,1.0,1.0,27.0,7.845173108613386,1,0,0,0,1,0,1,0,1,0,0
77,35.0,4.1,5,3,1.0,2.0,37.0,13.942135995521298,0,0,0,0,1,0,1,0,1,0,0
78,39.0,4.6,3,3,1.0,2.0,44.0,13.945658037651098,1,0,0,0,0,1,1,0,1,0,0
79,34.0,4.7,2,2,2.0,1.0,28.0,6.049848888722569,1,0,0,1,0,0,1,0,1,0,0
80,27.0,4.7,1,3,2.0,1.0,42.0,17.04433026158667,0,0,1,0,0,1,1,0,1,0,0
81,30.0,4.8,2,0,1.0,1.0,25.0,17.25937671693666,0,0,1,0,1,0,1,0,1,0,0
82,25.0,4.4,1,1,2.0,1.0,39.0,17.03932066407865,0,0,1,0,0,1,1,0,1,0,0
83,25.0,4.7,4,1,0.0,0.0,20.0,16.790293751513897,0,1,0,0,1,0,1,0,0,0,1
84,30.0,5.0,4,2,1.0,1.0,31.0,2.9760382618044683,0,0,0,0,1,0,1,0,1,0,0
85,24.0,4.6,4,3,1.0,0.0,13.0,9.204543446314432,0,0,0,0,1,0,1,0,1,0,0
86,39.0,4.8,4,3,1.0,1.0,28.0,7.648215327844155,0,1,0,0,1,0,1,0,1,0,0
87,25.0,4.8,2,2,1.0,1.0,19.0,6.164026189217134,0,0,1,0,0,1,1,0,0,0,1
88,37.0,4.6,3,0,0.0,2.0,42.0,12.189899417672075,0,0,0,0,1,0,0,1,0,0,1
89,24.0,5.0,3,0,0.0,1.0,23.0,1.5496181081278617,1,0,0,0,1,0,1,0,1,0,0
90,25.0,4.2,4,3,0.0,1.0,39.0,16.87292741872069,0,1,0,0,1,0,1,0,1,0,0
91,32.0,4.6,4,0,2.0,1.0,25.0,1.5072188473775159,1,0,0,0,1,0,1,0,1,0,0
92,34.0,4.7,5,0,1.0,0.0,15.0,10.405069829459707,1,0,0,0,0,1,1,0,1,0,0
93,38.0,4.9,1,0,2.0,1.0,15.0,3.0207066398204954,1,0,0,0,0,1,1,0,0,0,1
94,36.0,4.8,0,1,2.0,0.0,15.0,13.391515800863722,0,0,0,1,0,0,1,0,1,0,0
95,25.0,5.0,4,3,1.0,1.0,15.0,16.695945260596357,0,1,0,0,1,0,1,0,1,0,0
96,29.0,5.0,0,0,0.0,0.0,18.0,7.756832982430433,1,0,0,0,1,0,1,0,1,0,0
97,36.0,4.7,5,0,2.0,0.0,29.0,13.750484667228228,1,0,0,1,0,0,1,0,1,0,0
98,33.0,4.7,3,0,0.0,0.0,20.0,7.774259486970199,0,0,1,0,1,0,1,0,1,0,0
99,36.0,4.4,1,2,2.0,1.0,39.0,6.2054267911859675,0,1,0,0,0,1,1,0,1,0,0
100,21.0,4.8,2,0,0.0,0.0,19.0,16.824024800777703,0,0,1,0,1,0,1,0,1,0,0
101,25.0,4.8,1,0,1.0,1.0,19.0,4.601882860109106,0,0,1,0,0,1,1,0,0,0,1
102,23.0,4.8,2,0,0.0,0.0,17.0,19.846613904419858,0,1,0,0,1,0,1,0,1,0,0
103,25.0,4.6,4,0,2.0,1.0,15.0,1.5549023823647297,0,0,1,0,1,0,1,0,0,0,1
104,24.0,4.3,5,0,0.0,0.0,19.0,3.020916215301368,0,1,0,0,1,0,1,0,0,0,1
105,27.0,4.6,5,3,0.0,1.0,29.0,13.944427583887085,0,0,0,0,1,0,1,0,1,0,0
106,23.0,4.8,1,0,2.0,1.0,22.0,16.80256330471995,0,0,1,0,0,1,1,0,0,0,1
107,21.0,4.3,3,3,1.0,0.0,42.0,20.16747676677092,1,0,0,0,0,1,1,0,1,0,0
108,27.0,4.7,5,0,2.0,0.0,12.0,3.0359027903496822,0,0,1,0,0,1,1,0,0,0,1
109,32.0,4.2,1,3,1.0,1.0,38.0,20.212460530271784,0,0,1,0,1,0,1,0,1,0,0
110,25.0,4.6,0,0,0.0,1.0,23.0,16.695279587363153,1,0,0,0,1,0,1,0,1,0,0
111,39.0,4.7,1,0,1.0,0.0,15.0,2.980982302644845,0,1,0,0,0,1,1,0,1,0,0
112,27.0,4.6,0,0,0.0,1.0,24.0,12.14251877438058,0,0,1,0,1,0,1,0,1,0,0
113,39.0,3.8,2,3,1.0,0.0,37.0,16.793999796074814,1,0,0,0,1,0,1,0,1,0,0
114,31.0,4.8,5,0,1.0,0.0,24.0,7.747259356564115,0,0,1,0,0,1,1,0,1,0,0
115,31.0,4.8,0,0,2.0,0.0,13.0,9.04302772134966,0,0,0,1,0,0,1,0,1,0,0
116,20.0,4.8,1,0,0.0,0.0,16.0,1.5514770796415487,1,0,0,0,1,0,1,0,0,0,0
117,36.0,4.9,1,1,0.0,1.0,42.0,12.056953151951015,1,0,0,0,1,0,1,0,0,0,1
118,20.0,4.9,5,0,0.0,1.0,17.0,13.561204009757175,0,1,0,0,1,0,1,0,1,0,0
119,24.0,4.6,1,3,0.0,0.0,25.0,4.464417671579878,1,0,0,0,1,0,1,0,1,0,0
120,29.0,4.5,0,0,3.0,0.0,25.0,16.6351168936998,0,0,1,1,0,0,1,0,1,0,0
121,39.0,4.2,3,1,1.0,0.0,39.0,16.610672955997156,0,0,1,0,0,1,1,0,1,0,0
122,37.0,4.8,0,2,2.0,0.0,18.0,6.219419664894865,0,1,0,0,0,1,1,0,1,0,0
123,32.0,4.9,5,1,2.0,1.0,28.0,6.19680534366793,1,0,0,0,1,0,1,0,1,0,0
124,22.0,4.5,5,0,1.0,1.0,18.0,7.4519201744257,1,0,0,0,0,1,1,0,1,0,0
125,23.0,4.9,2,0,1.0,0.0,18.0,20.212460530271784,0,1,0,0,0,1,1,0,1,0,0
126,33.0,4.7,3,3,1.0,1.0,49.0,16.577488524535223,0,0,1,0,0,1,1,0,1,0,0
127,23.0,4.5,0,0,0.0,0.0,15.0,4.53364788897892,1,0,0,0,1,0,1,0,1,0,0
128,27.0,4.6,0,0,0.0,1.0,21.0,12.396712257294642,1,0,0,0,1,0,1,0,1,0,0
129,34.0,4.7,0,2,2.0,0.0,23.0,6.108440050157439,0,0,1,0,0,1,1,0,1,0,0
130,26.0,5.0,3,0,2.0,1.0,11.0,1.5180601842214017,0,1,0,0,0,1,1,0,0,0,1
131,31.0,4.6,1,3,0.0,0.0,25.0,9.074471773144907,0,0,1,0,1,0,1,0,1,0,0
132,32.0,4.9,3,0,2.0,0.0,18.0,3.0592417522807835,0,0,1,0,1,0,1,0,1,0,0
133,27.0,4.7,1,0,1.0,0.0,14.0,3.020731790895242,0,0,0,0,1,0,1,0,1,0,0
134,21.0,4.9,2,1,0.0,2.0,36.0,13.945658037651098,1,0,0,0,1,0,1,0,1,0,0
135,28.0,4.8,3,0,1.0,1.0,18.0,7.747793362638613,1,0,0,0,1,0,1,0,1,0,0
136,24.0,4.9,3,1,1.0,1.0,17.0,6.276138627413788,0,1,0,0,0,1,1,0,0,0,1
137,33.0,4.4,5,0,0.0,1.0,28.0,1.5341291142656948,0,0,1,0,1,0,1,0,1,0,0
138,20.0,4.6,3,3,0.0,0.0,44.0,13.945629461520687,0,0,0,0,1,0,0,1,1,0,0
139,31.0,4.3,2,0,0.0,1.0,20.0,9.32931954189402,0,0,1,0,1,0,1,0,1,0,0
140,29.0,4.5,4,0,2.0,0.0,19.0,4.588712137571156,0,0,1,0,0,1,1,0,0,0,0
141,36.0,5.0,3,3,1.0,1.0,35.0,10.586720360323753,0,0,1,0,1,0,1,0,1,0,0
142,31.0,4.2,5,3,0.0,1.0,50.0,17.042634005429182,0,1,0,0,1,0,1,0,1,0,0
143,39.0,4.1,4,3,1.0,1.0,34.0,9.20451275105084,0,1,0,0,0,1,1,0,1,0,0
144,29.0,4.6,0,3,2.0,1.0,17.0,12.1426704162829,0,1,0,1,0,0,1,0,1,0,0
145,29.0,4.6,5,2,1.0,0.0,23.0,6.0714137610243695,0,0,1,0,0,1,1,0,0,0,1
146,37.0,4.9,3,1,0.0,1.0,27.0,4.664602978341938,0,0,0,0,1,0,1,0,1,0,0
147,33.0,4.7,1,2,0.0,0.0,26.0,6.276138627413788,0,0,1,0,1,0,1,0,0,0,1
148,31.0,3.9,1,0,1.0,1.0,35.0,10.69100092566136,0,0,0,0,0,1,1,0,1,0,0
149,37.0,4.6,2,2,0.0,1.0,41.0,6.276138627413788,1,0,0,0,1,0,1,0,0,0,1
150,26.0,4.4,5,0,0.0,0.0,23.0,9.296531667508171,0,0,0,0,1,0,1,0,0,0,0
151,24.0,4.6,4,1,0.0,0.0,30.0,17.10252275797518,0,0,1,0,1,0,1,0,1,0,0
152,23.0,4.8,2,0,1.0,1.0,19.0,3.1380694073889375,0,0,0,0,0,1,1,0,1,0,0
153,36.0,4.9,2,0,1.0,1.0,27.0,1.5690347154047222,0,0,0,0,0,1,1,0,1,0,0
154,39.0,4.8,1,2,0.0,1.0,28.0,6.205591081602371,0,0,1,0,1,0,1,0,1,0,0
155,20.0,4.7,5,1,0.0,1.0,24.0,12.438452034187964,1,0,0,0,1,0,1,0,1,0,0
156,20.0,5.0,1,3,0.0,1.0,36.0,20.166286848244525,0,1,0,0,1,0,1,0,0,0,1
157,29.0,4.3,5,0,0.0,0.0,28.0,9.067759514407921,0,0,0,0,1,0,1,0,1,0,0
158,36.0,4.8,3,1,2.0,1.0,31.0,17.103104604488404,1,0,0,0,1,0,1,0,0,0,1
159,36.0,4.0,0,3,0.0,3.0,44.0,13.611105169020725,0,1,0,0,1,0,1,0,1,0,0
160,22.0,4.8,2,0,1.0,1.0,15.0,12.056968418188378,1,0,0,0,0,1,1,0,1,0,0
161,38.0,4.4,2,1,0.0,1.0,33.0,10.704957546119868,0,0,0,0,1,0,1,0,1,0,0
162,39.0,4.9,3,3,0.0,0.0,30.0,7.5891604266051464,0,0,0,0,1,0,1,0,1,0,0
163,24.0,4.9,4,1,1.0,1.0,22.0,7.551948584727068,0,0,1,0,0,1,1,0,1,0,0
164,30.0,4.1,3,0,0.0,0.0,43.0,10.983241696284242,0,0,1,0,1,0,1,0,1,0,0
165,35.0,4.8,3,1,0.0,3.0,48.0,13.8048731994065,0,1,0,0,1,0,1,0,1,0,0
166,33.0,4.5,4,0,2.0,1.0,19.0,13.941657178556085,1,0,0,1,0,0,1,0,1,0,0
167,39.0,4.7,2,1,1.0,1.0,21.0,10.900635211617388,0,0,1,0,1,0,1,0,0,0,1
168,31.0,4.3,2,3,1.0,0.0,44.0,12.099040609550995,1,0,0,0,1,0,1,0,1,0,0
169,37.0,4.5,2,0,2.0,0.0,26.0,1.5495096221395899,1,0,0,0,0,1,1,0,1,0,0
170,37.0,4.7,2,0,1.0,1.0,26.0,4.654256824131883,0,0,0,0,0,1,1,0,1,0,0
171,33.0,5.0,2,2,1.0,1.0,31.0,1.5269331229167933,0,1,0,0,1,0,1,0,1,0,0
172,24.0,4.6,4,0,2.0,1.0,19.0,9.414207472710384,0,1,0,0,0,1,1,0,0,0,1
173,33.0,4.5,0,3,1.0,0.0,18.0,11.902924672838564,0,0,1,0,0,1,1,0,1,0,0
174,39.0,4.7,3,1,2.0,1.0,38.0,10.47279774286206,0,1,0,0,1,0,1,0,1,0,0
175,37.0,4.6,1,1,1.0,1.0,32.0,13.563852221699795,0,0,1,0,1,0,1,0,1,0,0
176,25.0,4.9,5,0,2.0,1.0,17.0,7.6696078159334125,0,1,0,0,0,1,1,0,1,0,0
177,28.0,4.8,3,1,1.0,1.0,11.0,9.177365744557306,0,0,0,0,0,1,1,0,0,0,1
178,38.0,4.7,2,2,2.0,1.0,31.0,6.205474967025108,0,0,0,0,1,0,1,0,1,0,0
179,29.0,4.5,5,1,0.0,0.0,43.0,10.41513064614557,1,0,0,0,1,0,1,0,1,0,0
180,31.0,4.6,2,1,0.0,0.0,25.0,9.308258482124039,0,1,0,0,1,0,1,0,1,0,0
181,25.0,4.8,1,3,2.0,1.0,22.0,9.164099415262326,0,0,1,0,1,0,1,0,1,0,0
182,35.0,4.9,3,3,0.0,3.0,43.0,10.858950700039014,1,0,0,0,1,0,1,0,1,0,0
183,39.0,4.7,3,3,0.0,1.0,42.0,10.550295445173377,0,0,0,0,1,0,0,1,1,0,0
184,38.0,3.9,4,3,1.0,0.0,42.0,12.082423061296744,0,1,0,0,1,0,1,0,1,0,0
185,35.0,4.7,3,3,1.0,1.0,34.0,4.647989333607506,1,0,0,0,1,0,1,0,1,0,0
186,29.0,4.7,5,0,1.0,1.0,17.0,2.9777179937144274,0,0,1,0,1,0,1,0,1,0,0
187,27.0,4.6,4,3,1.0,0.0,25.0,4.554150979429106,0,0,1,0,0,1,1,0,1,0,0
188,38.0,4.3,5,3,0.0,1.0,54.0,13.962004343954739,0,1,0,0,1,0,0,1,0,1,0
189,36.0,4.9,2,0,2.0,0.0,21.0,10.625702124383546,0,0,0,0,1,0,1,0,1,0,0
190,26.0,4.0,1,2,1.0,1.0,34.0,6.136519522327368,0,0,0,0,1,0,1,0,1,0,0
191,26.0,4.1,3,3,2.0,1.0,36.0,13.41246037752413,0,1,0,0,1,0,1,0,1,0,0
192,36.0,4.9,0,1,1.0,0.0,17.0,9.30866211935528,1,0,0,0,1,0,1,0,1,0,0
193,21.0,4.7,0,0,0.0,1.0,16.0,1.4880598281966515,0,1,0,0,1,0,1,0,1,0,0
194,35.0,4.7,0,3,2.0,1.0,27.0,12.39395555693745,0,1,0,1,0,0,1,0,1,0,0
195,20.0,4.5,3,2,2.0,1.0,26.0,6.205452508878913,0,1,0,0,1,0,1,0,1,0,0
196,23.0,4.6,3,3,0.0,2.0,46.0,13.764250249667594,0,0,1,0,1,0,0,1,1,0,0
197,37.0,5.0,0,3,0.0,0.0,29.0,9.066849655818128,0,0,0,0,1,0,1,0,1,0,0
198,26.0,4.8,5,3,0.0,1.0,23.0,9.297076456518699,0,0,1,0,1,0,1,0,1,0,0
199,29.0,5.0,5,0,1.0,1.0,11.0,12.142486110300894,0,0,1,0,0,1,1,0,0,0,1
200,26.0,4.9,4,1,1.0,0.0,28.0,16.61263581820452,0,0,1,0,1,0,1,0,1,0,0
201,29.0,4.8,1,3,0.0,1.0,25.0,9.177225998300313,0,1,0,0,1,0,1,0,1,0,0
202,29.0,4.7,5,0,2.0,0.0,11.0,3.0139588709850593,0,0,1,0,1,0,1,0,1,0,0
203,21.0,4.9,2,1,1.0,1.0,26.0,4.391724962431041,0,1,0,0,0,1,1,0,1,0,0
204,22.0,4.3,4,0,0.0,1.0,23.0,3.1028522086456105,0,1,0,0,1,0,1,0,1,0,0
205,31.0,4.0,3,1,1.0,2.0,39.0,11.902753837483976,0,0,1,0,1,0,1,0,1,0,0
206,20.0,4.5,3,0,1.0,0.0,11.0,3.1098846908757523,0,0,1,0,1,0,1,0,0,0,0
207,30.0,3.9,4,3,2.0,1.0,32.0,12.09895659021292,1,0,0,1,0,0,1,0,1,0,0
208,36.0,4.8,3,1,0.0,1.0,43.0,10.846831683111873,0,0,1,0,1,0,1,0,1,0,0
209,24.0,4.7,3,1,1.0,1.0,13.0,6.205738534229064,0,0,0,0,0,1,1,0,1,0,0
210,32.0,4.7,2,0,2.0,0.0,25.0,1.5513238067891462,0,0,0,1,0,0,1,0,1,0,0
211,25.0,5.0,2,1,1.0,0.0,27.0,9.294705791241629,1,0,0,0,1,0,1,0,1,0,0
212,27.0,4.5,2,1,2.0,1.0,29.0,6.136227883481779,1,0,0,0,0,1,1,0,1,0,0
213,32.0,4.1,5,1,0.0,1.0,33.0,10.845889966900735,0,0,0,0,1,0,1,0,1,0,0
214,23.0,4.7,3,1,1.0,1.0,19.0,6.197038931411321,1,0,0,0,1,0,1,0,0,0,1
215,39.0,4.4,0,1,0.0,1.0,33.0,20.141124436630037,0,1,0,0,1,0,1,0,1,0,0
216,20.0,4.8,3,3,1.0,1.0,28.0,9.414207472710384,0,0,1,0,1,0,1,0,1,0,0
217,20.0,4.8,2,1,2.0,0.0,15.0,11.905861749701417,1,0,0,1,0,0,1,0,0,0,0
218,29.0,4.6,4,3,1.0,1.0,29.0,4.488577625713805,0,1,0,0,0,1,1,0,1,0,0
219,26.0,4.9,4,0,2.0,1.0,18.0,20.827572697496162,0,1,0,0,0,1,1,0,1,0,0
220,25.0,5.0,4,0,1.0,1.0,14.0,1.5573379636752027,0,1,0,0,1,0,1,0,1,0,0
221,34.0,4.7,2,1,1.0,1.0,30.0,6.1983397369141935,0,0,1,0,1,0,1,0,1,0,0
222,31.0,4.9,0,2,0.0,0.0,28.0,6.1637986891740075,0,0,1,0,1,0,1,0,1,0,0
223,24.0,4.7,3,3,0.0,1.0,39.0,20.39744277518833,0,0,1,0,1,0,1,0,1,0,0
224,30.0,4.9,1,1,2.0,0.0,30.0,13.805626960612091,0,1,0,0,1,0,1,0,1,0,0
225,36.0,4.8,5,1,0.0,1.0,36.0,19.351082464681625,0,0,0,0,1,0,1,0,1,0,0
226,36.0,4.4,3,0,0.0,1.0,37.0,20.832850885767474,0,0,1,0,1,0,1,0,1,0,0
227,26.0,4.7,1,3,0.0,1.0,43.0,20.827407215133082,0,1,0,0,1,0,1,0,1,0,0
228,30.0,4.6,0,0,2.0,1.0,29.0,16.635239139962547,0,0,0,0,0,1,1,0,0,0,0
229,20.0,4.8,4,1,2.0,1.0,25.0,4.707104052532131,1,0,0,0,0,1,1,0,1,0,0
230,33.0,4.7,3,1,2.0,1.0,15.0,7.747301749382051,0,0,0,1,0,0,1,0,0,0,1
231,29.0,4.5,5,3,1.0,0.0,24.0,10.983241696284242,0,0,1,0,0,1,1,0,1,0,0
232,34.0,4.0,2,3,0.0,2.0,39.0,13.743748712643285,0,0,1,0,1,0,1,0,1,0,0
233,36.0,4.6,2,0,0.0,1.0,20.0,12.271931674508645,0,0,0,0,1,0,1,0,1,0,0
234,33.0,4.6,3,0,1.0,1.0,15.0,2.9810670001645097,0,0,0,0,1,0,1,0,1,0,0
235,22.0,4.8,5,0,1.0,1.0,16.0,16.760840661942968,1,0,0,0,1,0,1,0,1,0,0
236,38.0,4.7,0,0,2.0,1.0,19.0,1.529404811880711,1,0,0,0,0,1,1,0,1,0,0
237,27.0,4.9,3,0,2.0,0.0,20.0,12.396903135321507,1,0,0,0,0,1,1,0,1,0,0
238,32.0,4.8,0,3,2.0,1.0,25.0,10.43231016908222,0,1,0,0,0,1,1,0,1,0,0
239,26.0,4.8,1,3,0.0,1.0,43.0,12.396259636750276,0,0,1,0,1,0,1,0,1,0,0
240,29.0,4.5,2,0,0.0,0.0,15.0,19.630777254614774,1,0,0,0,1,0,1,0,0,0,1
241,31.0,4.5,0,3,0.0,0.0,29.0,12.43875210831113,0,0,0,0,1,0,1,0,0,0,1
